	GFP-1	GFP-2	GFP-3	GFP-4	GFP-5	GFP-7	GFP-8	GFP-10
MED8	5.60120750972024	5.65938564616245	5.77555345593489	5.47624388940703	5.3509499068958	5.61043143762249	5.6821522465762	5.41821490585488
SZT2	2.72070778790869	2.76482349836355	2.66879992325071	2.61692334641648	2.51047152389148	2.46170554160914	2.49622972657925	2.60415844329847
PTPRF	6.70112356820819	6.60856017820202	6.12744138711833	6.49840070964349	6.61346723934469	6.22078706862356	6.33522444177829	6.6589755616109
KDM4A	5.19070990904968	5.09607655851527	5.23877826401328	5.14006593604895	5.25116557278308	5.06407478368208	5.10330973289981	5.12423011891526
KDM4A-AS1	0.348034904244382	0.481048309709739	0.571479807667493	0.561246859720951	0.414932558099345	0.233470791824166	0.876665467121682	0.319983495130195
ST3GAL3	3.00128229048933	2.98648595999476	3.07677812485154	2.92217381559081	3.23850011671258	2.91246783601171	2.93266768323199	3.1904926799415
ARTN	3.62194656388496	3.57973767391344	3.50779522541649	3.76480339093337	3.40963911356224	2.91737776237414	3.54245379883959	3.00732773756662
IPO13	4.98732830574708	5.11005788202529	4.91032861547527	4.9830551945669	5.0876418112437	4.94827802511007	4.90442774615408	5.02465847466517
DPH2	5.34947680109028	5.47825038191173	5.38163429360941	5.25030659948463	6.02661647807158	5.13464080164474	5.31418738778989	5.83821480074165
ATP6V0B	8.62758305324496	8.65092914985613	8.57086169758385	8.65837005484119	8.97891532078499	8.73375721287318	8.72929998620957	9.04400638757892
B4GALT2	6.01460270941144	6.25110957504874	6.10800656708133	5.8725544361745	6.28199736425461	5.8652243760212	5.88157890562769	6.30293863182285
CCDC24	3.14819355854315	3.1230021475814	3.21780765749482	2.74682564880527	3.21760263291449	3.16533721773397	3.494033508252	3.20467621601637
SLC6A9	5.60432155621467	5.55928158296293	5.19745864873375	5.45942789671254	5.4699095950111	5.26054953500343	5.39321495296678	5.53376461337561
KLF17	0.0639924932182077	0.0694865596765375	0	0.0830989169042467	0.151592191628875	0	0.0733050959726504	0.0583583355035288
DMAP1	4.80280335533245	4.39928135041723	4.70454464624158	4.60371764468627	4.61182649804693	4.3502282659923	4.80998094825027	4.73682319190344
ERI3	5.65319298111932	5.87180755713946	5.72868107419902	5.72588126084992	5.98264474164651	5.76696152908248	5.72563529448785	6.05663409522376
ERI3-IT1	0	0.756205269654555	0.34573432725729	0.412708231920922	0.388943073827568	0.31576232794868	0.36865795323001	0.428538085657851
RNF220	5.41658392003801	5.44833676303881	5.33800681498869	5.2951027900157	5.41159128279532	5.19363453029726	5.27226685901081	5.40589178366159
TMEM53	3.23626213525006	2.9546825313664	2.72070999898565	2.49481320711002	2.75274776504195	2.98847946088032	3.02382385665585	2.86687186309973
C1orf228	0.945720245809128	1.00546915612807	1.70041787821851	1.34535755150648	1.34629189999769	0.492183315216126	1.17498887695486	0.68979456829625
KIF2C	2.27569117835314	2.50144374708052	1.98137247440102	2.12055822360355	3.4499134256784	2.14579755214751	2.15489964857449	3.3806359736822
RPS8	10.0306723921648	10.0071587504035	10.2246470443824	10.0674308677423	10.0781604107105	9.98187611254009	10.062358766979	10.076772374628
SNORD55	5.43220389940835	5.89241462896678	4.78871878537465	6.04793898784392	5.77763536376311	5.24910432743859	5.97022274838688	6.10961296405742
SNORD46	2.41763386519479	2.05307888174451	3.36239846848687	3.83261610919333	2.18154332827744	2.3769372895179	2.93638060866058	2.64855427763545
SNORD38A	3.90565145220077	1.66624723406168	2.39827855590458	3.81359786731034	4.35929865328275	1.5507947971573	2.48357270263265	2.69063232488588
SNORD38B	5.16805330677103	5.36681261385204	5.68786958778872	5.45961885067809	4.96051898128029	3.16074003131772	5.09091808205304	5.192036727166
BEST4	1.23493991843951	0.968861287196184	0.59115625675624	0.695447690023648	1.53679009303001	1.12211160388522	0.89194278934118	1.0337141194691
PLK3	6.70297884433258	6.67055445331568	6.80986079181364	6.69873536790427	6.46438787281593	6.40482185446724	6.63708975075713	6.45426366607736
TCTEX1D4	0.924409652602844	1.73121180473013	0.78227591003006	1.67847557656677	1.15951173353202	0.98227597662463	0.331111363002337	1.34046621839749
BTBD19	2.55418990640048	2.95878771104615	3.37258073074009	2.90473742814168	2.65330793450373	2.73668443011188	2.60458879586006	2.6454654407808
PTCH2	0.689118160886711	0.847493541486423	1.12306522115695	1.02897432684535	1.18357508575889	0.643189537139455	0.64427250683227	1.17242738456971
EIF2B3	5.06472198187122	4.93107851591363	4.93961134873751	5.07954201880235	5.35951218955105	5.1928244836042	5.04087449514304	5.37812157954054
HECTD3	5.25652104698688	5.14983829841026	5.18932369484028	5.08845119400656	5.22845956131813	5.08296271948715	5.135653569568	5.28844943964028
UROD	6.4782845095395	6.65725185231642	6.53991739350043	6.34907445730448	6.77178130040782	6.61996346656979	6.52924571508145	6.76292965727558
ZSWIM5	1.1316936867291	1.19906556060484	0.852418848847455	1.07879036501158	1.34709156932507	1.19614301817803	1.17453326397229	1.08976989162672
LINC01144	0.660610903349365	0.784155400809878	0.235561085437579	0	0.13925340937032	0.566331453290523	0.251804540720635	0.105022789550296
HPDL	1.22551579323378	2.42445636367934	1.06626866523108	1.45924416613434	4.61255241314488	1.87232387267783	1.58041395538229	4.54576653303347
MUTYH	2.7790544273976	3.23413562517043	2.86158976432679	3.05613865178964	2.97028340762795	2.80428973849429	2.89393506169964	2.91652076611403
TOE1	3.52329341246459	4.06002490698683	3.76050772586435	3.67640494382512	4.6172909941351	3.65854543407605	3.72258463333178	4.72679898149078
TESK2	2.20083953454975	2.52778226303109	2.29121956040601	2.16896615673619	2.69251263473401	2.25887100892577	2.52869326678893	2.76404245863904
CCDC163P	1.53447220518024	1.23390929389081	1.34377201192082	1.72624581976755	1.23765040980498	1.3669452014536	1.08919744591532	1.31515743422083
MMACHC	2.35941843356	2.41481291880985	2.1565935520987	2.06648433995723	2.07808169696173	2.24789014158156	2.37190225298235	2.57008501911916
PRDX1	9.821684218507	9.79092302706695	9.91049879441178	9.82559165806116	9.84608009951439	9.92962524817459	9.91654680760927	9.87140225597899
AKR1A1	6.89898468944921	6.86013034292976	6.7817799514367	6.54864750359591	6.72134675044631	6.83281151478739	6.72860489308236	6.83423701817496
NASP	4.68858693116034	5.09809808342091	4.98589905836101	5.03243116326645	6.84674763890559	5.05415678583672	4.71244056954302	6.59479435089241
CCDC17	1.25529965668555	1.28721062689685	1.68891947605133	1.79611111045027	1.20742349053091	1.2263233293095	1.15826790469416	1.14088439670978
GPBP1L1	6.35139388962665	6.21912633645092	6.23189346114471	6.22549899282649	6.2060772235013	6.11909400019553	6.19439574444733	6.21465424032224
RPS15AP10	0	0.226951368358542	0	0.495089993344219	0	0.381239934338275	0.238739182019606	0.650843503256602
TMEM69	5.8016835444976	5.82299828099922	5.76556327287145	5.93700852693005	5.84658626022945	6.22797760299139	6.11430525587788	5.88104873744821
IPP	2.67759313709953	2.77140790664274	2.73069443888495	2.43750673283125	2.69729919916103	2.59788516871368	2.57829094863363	2.67818465221338
MAST2	5.52351970606158	5.74236722272123	5.65671680568001	5.47903725175174	5.81260355935918	5.2483696892219	5.37176728313181	5.80789046689519
PIK3R3	5.25242544047622	5.00629203363039	4.75575866104215	4.79275435444281	4.28348886760321	4.23598352309146	4.69745550373175	4.73774785248295
TSPAN1	6.93549820214084	6.81766567069423	6.88625477024406	7.18914675730582	7.14702703633704	7.37158258787164	7.29129134374173	7.36147603496426
POMGNT1	6.37800647221024	6.44197875994332	6.22379361509119	6.34148574315465	6.37591456273321	6.25840910440401	6.31699922109163	6.49572504396247
LURAP1	0.998165984149263	1.00122647393291	0.72781078896711	0.849944940378538	0.882411279476301	0.86006716709386	1.37141307507387	0.504883252605912
RAD54L	1.66200846382698	1.63673663665814	1.37334167454609	1.4063452614526	2.98916243825327	1.2852350042315	1.06236110102416	2.65413245221227
LRRC41	6.85818270915887	7.02416672727232	6.8499029517906	6.90192344215687	7.14269346019157	6.85373634306115	6.91839355498034	7.00517575814749
UQCRH	7.50119005494708	7.32757247686719	7.43559612059651	7.33474940517852	7.53258395722085	7.59423056472805	7.33597002511758	7.25231991637379
NSUN4	3.84865015788596	3.90944316345684	3.73518422851416	3.73129071007659	3.86750995540118	3.75980546902487	3.65992718431734	3.8923786893134
FAAH	3.80055344924442	3.61729904977899	3.92480967247077	3.52789643620857	4.17303115382158	3.27773339047824	3.38085407220993	4.22887724187835
LOC729041	0.834960925840236	1.43588154487369	1.28467688836382	1.11838071480778	1.47402681393821	0.89927507272153	1.02111360170434	1.69692767805192
DMBX1	0.0692785460607367	0	0	0.25449943513143	0.31073203414792	0	0.154542285052223	0.34327839659819
MKNK1-AS1	0.158399816647215	0.171532136150314	0	0.295794590204559	0	0.224183843896192	0	0.144859897905627
MKNK1	4.88076387546422	4.93979117936136	5.03004341746308	4.9663671593832	4.81171529033216	4.68165129876906	4.77213000130873	4.70877539830587
MOB3C	4.68182795372049	4.5699214846857	4.36881903549156	4.45537787802583	4.09425202772047	4.3054995076217	4.46134598823851	4.10615278600644
ATPAF1	4.79178257435987	4.8203987338196	4.74747757406971	4.6213880172896	4.9255463737873	4.75704671508844	4.78227687968278	5.00903705907828
EFCAB14-AS1	0	0.338844756144282	0	0.398478276683838	0	0	0	0.288633522072856
EFCAB14	5.32604562103095	5.20306020993015	5.00484680422747	5.14216303806506	5.05748798404412	5.0834429097378	5.16995489270301	5.13433231130012
CYP4B1	0.670541486230405	0.778397334142268	0.507547237025011	0.426282669508029	0.643473338367683	0.465660266660061	0.380966999802134	0.729607321044166
CYP4X1	0.444819642947809	0.408624080595688	0.536422971872691	0.30574528995169	0.527180946566603	0.368103334954044	0.500850941752198	0.821275515375409
CYP4Z1	0.290639121143505	0	0	0.133896667130049	0.12547489338014	0	0	0
LINC00853	0.717109579931597	0.302761122695812	1.71992857166736	0.642614900775796	0.335886407581851	0.2717651136232	0.990341055994435	0.475805302219639
PDZK1IP1	9.48808662682897	8.84893991173188	8.81052452390299	9.00919491480031	8.33082910254202	8.43394316987019	8.65383256516516	8.59215049108798
TAL1	0.0395612019619716	0.347341542792431	0.162040684323043	0.101229829797042	0.384727973113061	0.343121702879222	0.434516927538223	0.235268091513437
STIL	3.43969396036413	3.56137021705346	3.49420418734353	3.60158712920737	3.96810561346197	3.35035038718707	3.31930040082713	3.90491052488525
CMPK1	8.00854915606726	7.92135132874889	7.89443665067294	7.82123983750964	7.7240299138894	7.81701042596981	7.80046146424831	7.65329101892919
FOXE3	0.441563327269869	0.766566300316929	0.46754332828309	0.553952491269343	1.71117920721435	0.758426242835179	0.579011486922482	1.53120035215569
FOXD2-AS1	1.09206264249468	1.19716179974633	1.22080335235703	1.31008079958101	2.17794996943815	0.988231377380135	1.46255794997424	1.68470180403358
FOXD2	1.02274228187098	1.49355948645409	1.07236993834745	1.07778251468699	2.04037779372487	1.31886991997824	1.05738221559875	1.75503182654737
TRABD2B	1.89714902223013	1.62575943954028	1.9030200975647	2.1213239566553	1.87281984627446	2.02160981642372	1.74105522835516	1.64659979535878
SKINTL	0	0.140317791259565	0	0	0	0	0	0
SLC5A9	0.176318146882733	0.0664581547812574	0	0.226435606327751	0.212607825554374	0.0591466653290381	0.200880344817314	0.259660317757083
SPATA6	1.22122245199411	1.41373908497954	1.08433156934191	0.859754751228052	1.14472685305008	1.00883778566529	0.806371403056064	1.43387822322353
AGBL4	0	0	0	0	0.0813299992672901	0	0	0.175866951144494
BEND5	1.04844093796909	0.550798106531917	0.542770265840711	0.504839664233522	1.03130548774452	0.784266283761491	0.576375470294678	1.04932059570633
ELAVL4	0	0	0	0	0.0980885679550341	0	0	0
DMRTA2	0	0.137669786345659	0.426872498226889	0.0842770908348535	1.00842009341649	0.180562971165744	0.66150861442756	0.66571859764481
FAF1	5.05487209576259	5.02724425037972	4.89567408825365	4.79606784982446	5.33074684955653	4.93290954343826	4.70373847399148	5.4656955841069
CDKN2C	1.61402960672773	2.20558168822249	1.70677220851982	1.23093003347925	2.67457295430269	1.60683130287711	1.36688177150999	2.29517207388281
RNF11	7.02995429375766	6.92783674022359	6.8640164827566	6.8336885722703	6.63550605722806	6.91499706931343	6.85058788012869	6.43710982046914
TTC39A	1.75604080977485	1.32709157321498	0.96575599446632	1.45860295488076	1.49319344907201	0.780398385292078	1.40650463920674	1.57712939713338
EPS15	4.58510368229521	4.5983411354047	4.69904202454512	4.51417965280931	4.6648484010167	4.63311295316848	4.57516428002435	4.61487855726306
OSBPL9	5.04958086067021	4.96992680048855	5.21938520607361	5.12999844035456	5.10651513997345	5.21974241077578	5.01616802253081	5.14274270233264
NRD1	6.69869654390514	6.68033777205102	6.64767501375478	6.62340622932706	6.68483524625836	6.66288261541887	6.59009877758074	6.72302320613413
RAB3B	2.27286374038227	2.37012914130177	2.4682745520936	2.19111390839596	2.19808522538286	2.30966571448046	2.25404547481577	2.02726263827155
TXNDC12	5.53193493638871	5.60337266983598	5.62607385055046	5.81827445435212	6.10014191797739	5.98705529178664	5.9379984280374	6.16880734365659
BTF3L4	4.53881340566963	4.33966971557816	4.62524034685621	4.45751821795776	4.50832287189996	4.70506358968602	4.63889372195922	4.37085343680664
ZFYVE9	4.15781571669783	4.18840255131949	4.11417614950338	4.04073047153341	4.40464452897759	4.03120727816573	3.96871365905803	4.38263720381252
CC2D1B	4.42289675066455	4.48027080748598	4.4382325120355	4.3355068806717	4.29527400977893	4.22795136329751	4.29064991727038	4.15264771219373
ORC1	1.45730373836122	2.0244617771276	1.39342040387874	1.60802158320928	4.65669755082146	1.77450808152015	1.28723388098965	4.5984419885494
PRPF38A	4.66164866302382	4.62433906425194	4.60642543641335	4.56157474649767	5.39258486017862	4.65648357849307	4.74530661099058	5.41742044942284
ZCCHC11	3.62638660781967	3.61658082112248	3.50043993359598	3.7437136554165	4.08957999828842	3.54018605189642	3.33027689315751	4.02451556577257
GPX7	5.07330829067745	5.53016527282447	5.43294217734017	5.06369941837215	5.79244113904312	5.65500073104847	5.38752335625623	5.85399508763689
FAM159A	0.686840036890123	0	0.9022939239178	0.339941253377629	0.58160443935899	0.477773017566968	0	0.24487739473715
COA7	4.1628208312149	4.33119666259153	4.36843638259593	4.07717527929726	4.98815987739199	4.2144613266717	4.21604823109094	4.81037732437806
ZYG11B	3.17792862382084	3.36033965712259	3.29421451002321	3.03527017883024	3.46814904064725	3.36540737317669	3.20010901542044	3.27424754418594
ZYG11A	0.67618091380242	0.814671933067919	0.712912985834973	0.833193312195353	1.53947290246599	0.627946881023153	0.252020918252265	1.36295103866654
ECHDC2	4.89820864171016	5.02452328701537	5.04223792852464	5.01689410835014	5.29873165864994	4.73299190832001	4.81103773891248	5.28864112805802
SCP2	5.78303060418097	5.85235066593728	5.87749107585956	5.75440701831602	5.98493133742838	6.0457811413768	5.81626831898309	6.04855014187803
PODN	4.31404433951058	4.824145016084	4.62118417652328	4.39423670201749	4.53047230966195	4.49394223438984	4.52337090044253	4.31702961487835
SLC1A7	0.211232092864758	0.228409375414871	0.630186611181216	0.207386527570322	0.36612363880175	0.251387188589404	0.583355860527345	0.281273586905067
CPT2	4.17451345959245	3.95574532423412	3.82125346106943	4.00948267613496	3.85214532150706	4.19146512890933	3.903493189884	4.03927140765402
C1orf123	5.11960349224957	5.27545580431877	5.28730851471023	4.8001861213524	5.20192930940233	5.23477848700882	5.15357630298971	5.2897578120972
MAGOH	6.20576918345771	6.32945515426964	6.39995366943275	6.47288832584111	7.05057404868714	6.45038273816625	6.26519267539638	6.94594096531108
LOC100507564	0.310634412974604	1.0324702016584	1.01951872303116	0.836078482994	1.01940232548659	0.659996981866255	1.0734443419522	1.20915276324198
LRP8	3.45163394000672	3.43334131997499	3.22714940588602	3.30655092727658	4.04101023200193	3.03026199922758	3.16778043470687	4.15114884202141
GLIS1	0.138499298415451	0.349422833123939	0.216057984742003	0.0920181300250558	0.453344502717534	0.133973263341437	0.430174257850748	0.126586649146339
NDC1	3.51205681000052	3.49829656455242	3.28353117665867	3.7375263311898	4.06127708432517	3.62745911820114	3.66199082372779	3.97687791140896
YIPF1	5.38984762776043	5.29877977596949	5.48634500942666	5.4394279242159	5.2536702529336	5.56363323089675	5.48206184100092	5.5998287661199
DIO1	0	0	0	0	0.128508338256856	0	0.12122555451945	0
HSPB11	5.45042121082658	5.45575451609799	5.52085154039171	5.33982939322905	5.82391718774831	5.72112625755344	5.19135951569757	5.99889184349181
LRRC42	5.98200576462804	6.03115071736289	6.18828058757763	6.14159956271615	6.35107632900292	6.24832479781251	6.08989183308896	6.30631828502484
TMEM59	8.8245640377818	8.71358439063481	8.71668507959076	8.9495327273756	9.00935681601281	9.05202749611975	9.01148002393772	8.99402629370185
TCEANC2	2.53934243755763	2.15894990972872	2.23309287336847	2.26378386787979	2.18674961366788	2.22610674295011	2.2810224642106	2.63233272105727
CDCP2	0	0	0	0	0.122281463896322	0	0	0.0920903063171363
CYB5RL	0.973598040395347	0.905917529321517	0.557926778511656	0.837873428833019	1.33368459487561	0.730560866538334	0.797747752402489	1.58983338698648
